"type","key","value_preview","source"
"GitHub Secret","AHREFS_API_KEY","(hidden)","GitHub"
"GitHub Secret","CLOUDFLARE_TOKEN","(hidden)","GitHub"
"GitHub Secret","GA4_TOKEN","(hidden)","GitHub"
"GitHub Secret","GH_FINEGRAINED_TOKEN","(hidden)","GitHub"
"GitHub Secret","GOOGLE_API_KEY","(hidden)","GitHub"
"GitHub Secret","GSC_TOKEN","(hidden)","GitHub"
"GitHub Secret","GTM_ID","(hidden)","GitHub"
"GitHub Secret","META_ACCESS_TOKEN","(hidden)","GitHub"
"GitHub Secret","SENTRY_DSN","(hidden)","GitHub"
"GitHub Secret","SENTRY_DSN_DEV","(hidden)","GitHub"
"GitHub Secret","SENTRY_DSN_PROD","(hidden)","GitHub"
"GitHub Secret","SHOPIFY_ADMIN_TOKEN","(hidden)","GitHub"
"GitHub Secret","SHOPIFY_API_KEY","(hidden)","GitHub"
"GitHub Secret","SHOPIFY_CLI_THEME_TOKEN","(hidden)","GitHub"
"GitHub Secret","SHOPIFY_CLI_THEME_TOKEN_DEV","(hidden)","GitHub"
"GitHub Secret","SHOPIFY_STORE","(hidden)","GitHub"
"GitHub Secret","SHOPIFY_STORE_DEV","(hidden)","GitHub"
"GitHub Secret","SHOPIFY_THEME_ID","(hidden)","GitHub"
"GitHub Secret","SHOPIFY_THEME_ID_DEV","(hidden)","GitHub"
"GitHub Secret","SLACK_WEBHOOK_URL","(hidden)","GitHub"
"GitHub Secret","THEME_ID_DEV","(hidden)","GitHub"
"GitHub Secret","THEME_ID_PROD","(hidden)","GitHub"
"Local Secret","NOTION_TOKEN","","/Users/asc/Shopify/NOTION/NOTION TPS DASHBOARD/TPS_Marketing_MediaPlan_Package/.env.example"
"Local Secret","PARENT_PAGE_ID","","/Users/asc/Shopify/NOTION/NOTION TPS DASHBOARD/TPS_Marketing_MediaPlan_Package/.env.example"
